A,B,C,label
333,353,960,F7
1363,330,187,F5
1261,191,896,F4
384,170,663,F7
652,334,234,F5
275,824,110,F6
1292,104,418,F5
198,194,966,F7
1021,966,312,F2
292,165,1484,F7
748,1127,191,F2
417,1057,1221,F3
1667,898,309,F2
165,1060,574,F3
1324,176,1239,F4
268,498,194,F6
383,245,1570,F7
431,999,236,F6
947,363,350,F5
534,164,294,F5
867,297,237,F5
977,502,121,F2
302,360,166,N8
1540,1140,402,F2
639,317,1059,F4
231,168,491,F7
353,386,444,N8
878,1628,183,F2
1199,398,560,F4
353,187,293,N8
385,1228,101,F6
275,378,1516,F7
1038,947,443,F2
1251,1618,249,F2
1088,187,1172,F4
144,760,233,F6
1121,1017,193,F2
441,200,916,F7
220,214,138,N8
837,1133,332,F2
318,440,1010,F7
356,103,382,N8
1377,127,323,F5
1958,1360,535,F1
173,448,1177,F7
748,570,174,F2
1674,1594,211,F2
720,410,360,F5
325,1164,1345,F3
1057,203,277,F5
897,617,437,F2
383,1100,1077,F3
120,329,649,F7
723,1344,241,F2
100,243,491,F7
369,234,1447,F7
1295,125,1207,F4
946,1124,1297,F1
475,129,926,F4
321,973,221,F6
191,125,565,F7
211,1004,355,F6
390,735,270,F6
126,378,863,F7
1315,394,102,F5
1095,355,758,F4
136,246,793,F7
630,1512,145,F2
855,180,1259,F4
1238,388,434,F5
1116,574,382,F2
701,229,1362,F4
1320,419,1052,F4
177,399,378,N8
1114,435,1029,F4
256,419,1306,F7
188,860,1074,F3
553,232,931,F4
117,1308,311,F6
1609,737,124,F2
1379,1003,736,F1
809,1412,1423,F1
162,169,439,N8
1031,790,260,F2
1033,178,210,F5
607,388,435,F5
1647,456,800,F1
1370,1552,247,F2
1319,1098,347,F2
369,553,290,F6
359,163,1111,F7
1064,185,300,F5
257,1159,1221,F3
197,1231,121,F6
223,411,1181,F7
124,1012,850,F3
338,1151,242,F6
1807,941,1980,F1
577,326,674,F4
401,266,100,N8
104,921,892,F3
775,380,1265,F4
496,109,831,F4
1502,489,579,F1
313,1147,1382,F3
1162,381,282,F5
700,105,571,F4
140,632,127,F6
251,143,243,N8
496,1499,588,F1
340,523,357,F6
688,636,1550,F1
593,568,158,F2
555,361,800,F4
970,256,1144,F4
1564,1116,347,F2
262,1143,181,F6
185,778,608,F3
877,421,287,F5
153,279,313,N8
255,285,575,F7
351,358,773,F7
254,903,254,F6
323,395,1512,F7
407,1251,386,F6
179,122,192,N8
965,1770,1082,F1
920,220,277,F5
401,117,1492,F7
183,863,904,F3
1876,1465,676,F1
1086,270,119,F5
823,1307,119,F2
929,245,170,F5
417,401,256,N8
472,223,105,F5
236,384,1353,F7
213,534,139,F6
349,922,716,F3
1034,664,893,F1
564,489,1688,F1
178,769,1133,F3
1789,1457,954,F1
546,429,330,F5
1549,1641,400,F2
983,131,117,F5
207,1147,830,F3
838,1136,1189,F1
565,395,384,F5
322,483,302,F6
981,108,881,F4
1482,679,1812,F1
400,347,1597,F7
1739,1750,1434,F1
283,263,215,N8
454,281,456,F4
434,1035,644,F3
387,365,321,N8
1749,1991,1693,F1
1057,406,709,F4
1352,1020,607,F1
987,815,158,F2
277,176,950,F7
413,691,1198,F3
1247,311,957,F4
421,286,1105,F7
698,131,348,F5
192,961,945,F3
646,334,698,F4
223,330,279,N8
609,294,670,F4
137,128,426,N8
1951,1705,1511,F1
1466,157,419,F5
1116,846,283,F2
1409,1563,264,F2
190,1059,179,F6
448,338,354,N8
1960,1954,1999,F1
291,855,202,F6
795,848,289,F2
1299,1314,398,F2
929,435,1124,F4
878,1963,1854,F1
1011,370,667,F4
467,453,230,F2
691,313,475,F4
184,386,449,N8
1214,198,562,F4
944,690,110,F2
888,357,444,F5
239,142,217,N8
255,288,1647,F7
150,1235,746,F3
142,185,464,F7
427,301,366,N8
571,998,143,F2
373,187,1297,F7
1072,1091,192,F2
471,1359,879,F1
155,498,106,F6
1058,430,1046,F4
322,361,641,F7
347,1017,448,F6
142,396,898,F7
252,1157,473,F3
1183,421,633,F4
233,1274,766,F3
443,954,212,F6
1407,1448,545,F1
1005,315,337,F5
434,592,204,F6
233,1173,1187,F3
282,784,1098,F3
275,347,405,N8
213,162,1054,F7
225,574,270,F6
834,739,628,F1
300,176,1618,F7
448,1066,1002,F3
203,509,539,F3
421,777,319,F6
954,1593,284,F2
302,316,624,F7
150,330,1464,F7
221,128,801,F7
1440,1235,361,F2
843,1058,228,F2
1008,852,124,F2
1441,261,308,F5
1269,751,266,F2
655,834,144,F2
437,111,194,N8
374,917,247,F6
241,153,410,N8
186,253,482,F7
1460,334,235,F5
951,1600,1196,F1
348,1097,1052,F3
364,358,1354,F7
204,164,334,N8
265,882,254,F6
1308,213,108,F5
1201,408,1192,F4
314,154,178,N8
638,401,234,F5
241,391,672,F7
363,342,1396,F7
311,1203,681,F3
812,789,129,F2
1146,381,1383,F4
1418,400,409,F5
357,259,199,N8
1899,781,861,F1
594,1309,431,F2
1760,1057,1053,F1
168,366,162,N8
1345,1130,1715,F1
798,134,847,F4
1142,173,1335,F4
1166,440,243,F5
244,192,1253,F7
1112,213,1301,F4
810,254,274,F5
390,886,385,F6
153,349,732,F7
1103,388,557,F4
931,165,1296,F4
156,249,137,N8
1167,1356,260,F2
354,360,121,N8
162,824,780,F3
343,1080,161,F6
630,1280,196,F2
639,213,702,F4
636,364,196,F5
227,1352,370,F6
115,328,336,N8
1405,535,1492,F1
1179,359,435,F5
1202,917,223,F2
1020,279,136,F5
132,190,1653,F7
1121,1469,575,F1
199,644,510,F3
1148,193,149,F5
967,369,1077,F4
1113,1644,435,F2
1101,295,414,F5
234,1225,265,F6
258,278,161,N8
1500,436,301,F5
225,123,357,N8
307,1010,157,F6
815,416,337,F5
1176,196,819,F4
233,1174,1050,F3
231,744,1333,F3
702,443,506,F4
282,1220,433,F6
297,339,381,N8
258,381,1655,F7
971,495,434,F2
259,212,354,N8
186,105,404,N8
277,194,377,N8
134,368,362,N8
311,205,768,F7
229,127,1048,F7
243,201,382,N8
1130,153,171,F5
161,218,174,N8
143,268,257,N8
1357,671,175,F2
326,198,217,N8
1200,261,1291,F4
697,554,1135,F1
285,1283,208,F6
308,158,402,N8
1452,1047,222,F2
331,287,181,N8
1045,202,1040,F4
203,588,1334,F3
236,551,229,F6
423,1200,435,F6
241,565,1109,F3
600,164,153,F5
1190,390,439,F5
167,422,1685,F7
492,176,1328,F4
231,707,363,F6
178,955,106,F6
258,644,341,F6
191,1123,745,F3
191,371,1413,F7
220,1356,281,F6
445,480,1349,F3
1458,1107,137,F2
235,1212,1227,F3
575,285,480,F4
214,493,196,F6
1084,243,365,F5
296,927,504,F3
909,1407,430,F2
331,109,227,N8
231,473,226,F6
283,367,1333,F7
916,1211,1001,F1
875,1667,330,F2
264,1052,396,F6
897,878,448,F2
133,560,850,F3
262,616,1225,F3
1454,1510,339,F2
164,742,714,F3
1320,1544,361,F2
215,459,503,F3
1580,1243,1069,F1
179,473,138,F6
694,597,395,F2
1012,231,292,F5
329,173,129,N8
217,810,300,F6
1465,139,177,F5
728,1437,227,F2
433,168,429,N8
658,589,233,F2
424,1190,172,F6
1035,147,112,F5
428,320,369,N8
270,630,126,F6
132,118,102,N8
268,1231,672,F3
864,1182,682,F1
871,163,286,F5
1570,540,1968,F1
314,302,1521,F7
1600,1251,821,F1
137,1196,1276,F3
1315,309,769,F4
803,276,553,F4
1041,1704,917,F1
333,117,109,N8
1354,728,846,F1
749,214,482,F4
1126,235,576,F4
244,200,1629,F7
303,917,607,F3
488,218,1113,F4
1643,1060,319,F2
693,285,150,F5
239,1299,214,F6
487,385,1122,F4
302,417,326,N8
163,259,316,N8
112,1395,117,F6
622,1536,387,F2
220,170,1614,F7
318,218,299,N8
1717,507,874,F1
908,311,1293,F4
1135,1098,321,F2
1409,332,205,F5
437,1071,417,F6
441,991,218,F6
953,292,941,F4
962,1128,183,F2
384,1105,860,F3
464,1470,111,F2
1295,116,906,F4
1676,1448,335,F2
1622,1585,940,F1
911,250,859,F4
1898,1271,786,F1
1087,255,430,F5
188,810,436,F6
661,219,505,F4
433,689,374,F6
273,191,1268,F7
901,138,474,F4
671,361,843,F4
460,995,954,F1
766,100,177,F5
293,851,592,F3
622,1110,505,F1
1343,275,427,F5
201,319,429,N8
575,359,396,F5
1025,882,389,F2
186,299,151,N8
214,422,729,F7
649,392,545,F4
624,1315,303,F2
265,1162,308,F6
728,209,489,F4
267,999,156,F6
561,1216,1043,F1
236,1356,169,F6
1015,274,935,F4
396,578,410,F6
903,201,215,F5
255,113,1207,F7
636,333,692,F4
1450,461,415,F2
1525,841,103,F2
165,1001,100,F6
902,1197,1663,F1
866,135,145,F5
746,1282,148,F2
289,400,140,N8
350,969,253,F6
212,324,292,N8
239,177,1230,F7
338,356,1150,F7
386,299,1229,F7
1683,646,990,F1
137,1041,1018,F3
688,332,127,F5
799,964,420,F2
391,371,1257,F7
167,352,552,F7
1431,876,236,F2
814,201,856,F4
983,1407,300,F2
171,309,191,N8
181,1086,548,F3
116,561,254,F6
236,804,271,F6
916,381,245,F5
378,727,299,F6
914,425,1208,F4
554,411,1183,F4
1264,384,138,F5
902,1349,146,F2
239,331,1413,F7
1286,429,401,F5
1187,1385,383,F2
1374,574,388,F2
205,176,933,F7
412,163,439,N8
1198,1811,762,F1
1258,100,396,F5
897,250,192,F5
317,399,425,N8
1004,438,633,F4
111,1046,289,F6
1141,1595,407,F2
408,100,376,N8
1440,837,955,F1
309,311,131,N8
1295,422,396,F5
1828,1819,965,F1
1100,298,111,F5
203,1129,668,F3
252,941,148,F6
518,237,596,F4
399,187,114,N8
406,285,148,N8
454,664,397,F2
999,263,374,F5
1492,1975,598,F1
420,590,296,F6
430,512,413,F6
452,445,212,F5
282,1073,709,F3
992,997,300,F2
562,371,1369,F4
666,896,437,F2
142,101,162,N8
249,897,262,F6
492,808,182,F2
307,431,433,N8
776,487,129,F2
1215,257,437,F5
666,1419,169,F2
105,434,332,N8
308,299,1120,F7
313,1138,429,F6
206,921,234,F6
285,1071,423,F6
292,1242,380,F6
1466,1019,1408,F1
148,1010,106,F6
138,1389,680,F3
702,828,151,F2
507,872,828,F1
1477,1034,197,F2
306,419,970,F7
330,264,1690,F7
1394,1643,714,F1
362,196,1368,F7
1256,1082,216,F2
375,406,282,N8
419,810,405,F6
251,371,818,F7
1133,184,100,F5
269,155,1010,F7
560,553,1303,F1
1119,351,1262,F4
287,1213,388,F6
531,564,980,F1
1952,575,805,F1
1139,1365,1209,F1
853,350,923,F4
206,120,659,F7
599,1184,1904,F1
181,334,225,N8
315,1131,948,F3
1531,1094,1682,F1
599,1022,1961,F1
405,321,408,N8
445,360,287,N8
243,151,1285,F7
1227,1790,1002,F1
1706,649,1353,F1
1179,1173,170,F2
225,513,862,F3
258,1362,910,F3
831,1795,1373,F1
872,278,780,F4
1239,1858,1936,F1
1323,443,881,F4
116,208,188,N8
204,408,179,N8
1277,391,1344,F4
1256,441,812,F4
428,397,1171,F7
451,229,410,F5
415,565,456,F3
444,142,455,F7
1335,348,322,F5
352,360,442,N8
405,118,362,N8
795,323,387,F5
293,235,330,N8
871,202,1005,F4
1771,940,596,F1
322,793,1137,F3
206,353,566,F7
830,174,634,F4
145,279,320,N8
1386,1329,506,F1
358,305,266,N8
1539,1238,1330,F1
271,403,988,F7
249,157,259,N8
919,433,937,F4
1230,340,259,F5
554,259,225,F5
438,1233,274,F6
444,456,1044,F3
437,1311,381,F6
114,1290,1254,F3
145,1278,306,F6
1898,1569,604,F1
785,1634,159,F2
348,513,216,F6
1377,301,872,F4
1465,431,401,F5
341,575,436,F6
685,334,204,F5
1491,1903,1276,F1
1289,111,290,F5
272,281,347,N8
101,245,427,N8
108,1000,370,F6
1179,290,1179,F4
545,295,894,F4
367,374,877,F7
477,1855,850,F1
215,896,1062,F3
150,409,1578,F7
329,1229,345,F6
161,881,1024,F3
982,248,1135,F4
1143,146,448,F5
178,753,270,F6
354,996,839,F3
116,1005,961,F3
333,108,1004,F7
389,390,121,N8
272,1207,556,F3
601,349,622,F4
839,102,409,F5
251,107,1030,F7
677,539,1399,F1
243,861,390,F6
591,151,268,F5
434,418,1082,F7
200,607,198,F6
138,861,334,F6
150,734,338,F6
373,381,222,N8
1278,333,1040,F4
397,388,171,N8
1425,1735,1516,F1
438,349,1277,F7
151,934,349,F6
101,1043,422,F6
378,400,264,N8
1926,1869,1365,F1
741,271,381,F5
789,235,552,F4
278,856,473,F3
1403,1901,1929,F1
1677,1340,1885,F1
971,104,343,F5
142,1142,1238,F3
187,462,373,F6
245,433,999,F7
1430,1403,270,F2
323,199,1428,F7
433,414,604,F7
131,214,1563,F7
1059,423,1201,F4
413,454,752,F3
1040,885,634,F1
114,648,439,F6
235,265,954,F7
207,191,1289,F7
319,161,1532,F7
602,993,381,F2
379,1188,316,F6
140,187,189,N8
445,180,1535,F7
1213,1344,1238,F1
435,438,448,N8
140,455,314,F6
1340,1242,1945,F1
1644,1006,194,F2
1125,288,235,F5
318,1394,227,F6
352,546,1375,F3
290,978,132,F6
244,496,264,F6
447,426,954,F7
1105,194,231,F5
283,204,100,N8
1277,1705,1363,F1
627,1333,145,F2
130,395,249,N8
1288,714,206,F2
178,1197,397,F6
322,331,740,F7
132,260,125,N8
120,444,310,N8
967,275,196,F5
101,1121,150,F6
293,185,1486,F7
214,197,149,N8
1901,1681,1980,F1
1739,767,689,F1
1039,939,256,F2
1637,1433,604,F1
1072,1371,369,F2
1286,874,390,F2
121,154,582,F7
1283,1917,1145,F1
428,256,1330,F7
332,767,229,F6
1044,223,1119,F4
412,218,1526,F7
443,1239,810,F3
901,1037,1177,F1
147,850,103,F6
937,947,716,F1
236,220,1056,F7
437,224,523,F7
263,1360,406,F6
1890,835,516,F1
443,316,421,N8
1316,407,1275,F4
1294,735,248,F2
317,337,1364,F7
819,233,1399,F4
631,142,1233,F4
262,871,431,F6
163,862,212,F6
293,1363,1070,F3
217,765,355,F6
193,105,169,N8
626,344,352,F5
368,131,376,N8
894,425,380,F5
224,165,332,N8
417,132,445,N8
289,1184,1240,F3
1661,1947,1733,F1
346,440,1567,F7
1137,427,555,F4
334,437,466,F7
280,225,439,N8
1195,1692,1474,F1
411,232,641,F7
1361,130,959,F4
1664,917,299,F2
1121,1673,144,F2
1885,936,786,F1
392,336,674,F7
1245,425,1020,F4
281,957,541,F3
448,521,816,F3
562,361,1379,F4
1480,1400,1764,F1
449,248,1652,F7
578,246,804,F4
397,199,1181,F7
438,639,235,F6
350,242,153,N8
802,1176,820,F1
431,971,1294,F3
346,227,978,F7
573,1305,411,F2
1283,219,957,F4
994,301,1062,F4
990,345,102,F5
106,1335,324,F6
391,384,134,N8
1122,181,253,F5
308,1122,249,F6
1675,1387,211,F2
131,244,600,F7
962,412,367,F5
904,1750,1903,F1
795,368,224,F5
100,1020,234,F6
1004,102,322,F5
1584,555,867,F1
1317,418,431,F5
113,303,576,F7
120,969,632,F3
431,1320,599,F3
669,300,129,F5
398,254,1200,F7
202,955,153,F6
939,237,192,F5
329,402,403,N8
422,869,924,F3
